Curso,Nombre
1° Básico A,Alonso Valenzuela
1° Básico A,Antonia Muñoz
1° Básico A,Cristóbal Sepúlveda
1° Básico A,Daniela Romero
1° Básico B,Esteban Navarrete
1° Básico B,Francisca Lagos
1° Básico B,Gabriel Ortiz
2° Básico A,Ignacio Soto
2° Básico A,Javiera Fuentes
2° Básico A,Lucas Cárdenas
2° Básico B,Macarena Reyes
2° Básico B,Matías Espinoza
3° Básico A,Nicolás Pacheco
3° Básico A,Paula Miranda
3° Básico B,Rodrigo San Martín
3° Básico B,Trinidad Castillo
4° Básico A,Vicente Figueroa
4° Básico B,Agustín Peña
